Train Type,Car No.,Car Type,Car Direction,Door No.,Case,Case Offset (mm),Stop Error (mm),Front Ref Position (mm),Base Door Start (mm),Base Door End (mm),Door Width (mm),Actual Door Start (mm),Actual Door End (mm),Door Center (mm),Unit ID,Unit Start (mm),Unit End (mm),Unit Center (mm),Overlap Width (mm),Move Distance (mm),Direction,Effective Opening Width (mm),Min Required Width (mm),Valid?,Command,Confidence,Source / Note
GTX-A,2,M,정방향,2,1,0,-30,-30,2910,3040,130,2880,3010,2945,21,2800,2940,2870,82.75,82.75,LEFT,175.5,175.5,OK,UNIT_21:LEFT:82.8mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 2호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10"
GTX-A,2,M,정방향,2,1,0,-30,-30,2910,3040,130,2880,3010,2945,22,2940,3080,3010,92.75,92.75,RIGHT,175.5,175.5,OK,UNIT_22:RIGHT:92.8mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 2호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10"
GTX-A,2,M,정방향,3,1,0,-30,-30,3560,3690,130,3530,3660,3595,26,3500,3640,3570,110,110,LEFT,175.5,175.5,OK,UNIT_26:LEFT:110.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 2호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
GTX-A,2,M,정방향,3,1,0,-30,-30,3560,3690,130,3530,3660,3595,27,3640,3780,3710,65.5,65.5,RIGHT,175.5,175.5,OK,UNIT_27:RIGHT:65.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 2호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
GTX-A,3,T,정방향,1,1,0,-30,-30,4260,4390,130,4230,4360,4295,31,4200,4340,4270,110,110,LEFT,175.5,175.5,OK,UNIT_31:LEFT:110.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 3호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
GTX-A,3,T,정방향,1,1,0,-30,-30,4260,4390,130,4230,4360,4295,32,4340,4480,4410,65.5,65.5,RIGHT,175.5,175.5,OK,UNIT_32:RIGHT:65.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 3호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
GTX-A,3,T,정방향,2,1,0,-30,-30,4910,5040,130,4880,5010,4945,35,4760,4900,4830,65.5,65.5,LEFT,175.5,175.5,OK,UNIT_35:LEFT:65.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 3호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,3,T,정방향,2,1,0,-30,-30,4910,5040,130,4880,5010,4945,36,4900,5040,4970,110,110,RIGHT,175.5,175.5,OK,UNIT_36:RIGHT:110.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 3호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,3,T,정방향,3,1,0,-30,-30,5560,5690,130,5530,5660,5595,40,5460,5600,5530,92.75,92.75,LEFT,175.5,175.5,OK,UNIT_40:LEFT:92.8mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 3호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10"
GTX-A,3,T,정방향,3,1,0,-30,-30,5560,5690,130,5530,5660,5595,41,5600,5740,5670,82.75,82.75,RIGHT,175.5,175.5,OK,UNIT_41:RIGHT:82.8mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 3호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10"
GTX-A,4,M,정방향,1,1,0,-30,-30,6260,6390,130,6230,6360,6295,45,6160,6300,6230,92.75,92.75,LEFT,175.5,175.5,OK,UNIT_45:LEFT:92.8mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 4호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10"
GTX-A,4,M,정방향,1,1,0,-30,-30,6260,6390,130,6230,6360,6295,46,6300,6440,6370,82.75,82.75,RIGHT,175.5,175.5,OK,UNIT_46:RIGHT:82.8mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 4호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10"
GTX-A,4,M,정방향,2,1,0,-30,-30,6910,7040,130,6880,7010,6945,50,6860,7000,6930,120,120,LEFT,175.5,175.5,OK,UNIT_50:LEFT:120.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 4호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
GTX-A,4,M,정방향,2,1,0,-30,-30,6910,7040,130,6880,7010,6945,51,7000,7140,7070,55.5,55.5,RIGHT,175.5,175.5,OK,UNIT_51:RIGHT:55.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 4호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
GTX-A,4,M,정방향,3,1,0,-30,-30,7560,7690,130,7530,7660,7595,54,7420,7560,7490,75.5,75.5,LEFT,175.5,175.5,OK,UNIT_54:LEFT:75.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 4호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,4,M,정방향,3,1,0,-30,-30,7560,7690,130,7530,7660,7595,55,7560,7700,7630,100,100,RIGHT,175.5,175.5,OK,UNIT_55:RIGHT:100.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 4호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,5,M,정방향,1,1,0,-30,-30,8260,8390,130,8230,8360,8295,59,8120,8260,8190,75.5,75.5,LEFT,175.5,175.5,OK,UNIT_59:LEFT:75.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 5호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,5,M,정방향,1,1,0,-30,-30,8260,8390,130,8230,8360,8295,60,8260,8400,8330,100,100,RIGHT,175.5,175.5,OK,UNIT_60:RIGHT:100.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 5호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,5,M,정방향,2,1,0,-30,-30,8910,9040,130,8880,9010,8945,64,8820,8960,8890,80,80,LEFT,175.5,175.5,OK,UNIT_64:LEFT:80.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 5호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
GTX-A,5,M,정방향,2,1,0,-30,-30,8910,9040,130,8880,9010,8945,65,8960,9100,9030,95.5,95.5,RIGHT,175.5,175.5,OK,UNIT_65:RIGHT:95.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 5호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
GTX-A,5,M,정방향,3,1,0,-30,-30,9560,9690,130,9530,9660,9595,69,9520,9660,9590,130,130,LEFT,175.5,175.5,OK,UNIT_69:LEFT:130.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 5호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
GTX-A,5,M,정방향,3,1,0,-30,-30,9560,9690,130,9530,9660,9595,70,9660,9800,9730,45.5,45.5,RIGHT,175.5,175.5,OK,UNIT_70:RIGHT:45.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 5호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
GTX-A,6,T,정방향,1,1,0,-30,-30,10260,10390,130,10230,10360,10295,74,10220,10360,10290,130,130,LEFT,175.5,175.5,OK,UNIT_74:LEFT:130.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 6호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
GTX-A,6,T,정방향,1,1,0,-30,-30,10260,10390,130,10230,10360,10295,75,10360,10500,10430,45.5,45.5,RIGHT,175.5,175.5,OK,UNIT_75:RIGHT:45.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 6호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
GTX-A,6,T,정방향,2,1,0,-30,-30,10910,11040,130,10880,11010,10945,78,10780,10920,10850,85.5,85.5,LEFT,175.5,175.5,OK,UNIT_78:LEFT:85.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 6호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
